...1,INCIDENT_ID,INCIDENT_NUMBER,INCIDENT_NAME,INCTYP_ABBREVIATION,FINAL_ACRES,CAUSE,COMPLEX,DISCOVERY_DATE,DISCOVERY_DOY,EXPECTED_CONTAINMENT_DATE,FATALITIES,FUEL_MODEL,INCIDENT_DESCRIPTION,INC_IDENTIFIER,INJURIES_TOTAL,LL_CONFIDENCE,LL_UPDATE,LOCAL_TIMEZONE,POO_CITY,POO_COUNTY,POO_LATITUDE,POO_LONGITUDE,POO_SHORT_LOCATION_DESC,POO_STATE,PROJECTED_FINAL_IM_COST,START_YEAR,SUPPRESSION_METHOD,STR_DAMAGED_TOTAL,STR_DAMAGED_COMM_TOTAL,STR_DAMAGED_RES_TOTAL,STR_DESTROYED_TOTAL,STR_DESTROYED_COMM_TOTAL,STR_DESTROYED_RES_TOTAL,FATALITIES_RESPONDER,FATALITIES_PUBLIC,FINAL_REPORT_DATE,INCIDENT_ID_OLD,INC_MGMT_NUM_SITREPS,PEAK_EVACUATIONS,STR_THREATENED_MAX,STR_THREATENED_COMM_MAX,STR_THREATENED_RES_MAX,TOTAL_AERIAL_SUM,TOTAL_PERSONNEL_SUM,WF_PEAK_AERIAL,WF_PEAK_AERIAL_DATE,WF_PEAK_AERIAL_DOY,WF_PEAK_PERSONNEL,WF_PEAK_PERSONNEL_DATE,WF_PEAK_PERSONNEL_DOY,WF_CESSATION_DATE,WF_CESSATION_DOY,WF_MAX_FSR,WF_MAX_GROWTH_DATE,WF_MAX_GROWTH_DOY,WF_GROWTH_DURATION,SUP_SERIES,SUP_METHOD_INITIAL,SUP_METHOD_FINAL,SUP_PERCENT_FS,FOD_ID_LIST,FOD_FIRE_NUM,MTBS_FIRE_LIST,FOD_DISCOVERY_DOY,FOD_CONTAIN_DOY,FOD_CAUSE,FOD_FINAL_ACRES,FOD_FIRE_LIST,FOD_COORD_LIST,FOD_CAUSE_NUM,FOD_COORD_NUM,MTBS_FIRE_NUM,LRGST_FOD_ID,LRGST_FOD_LATITUDE,LRGST_FOD_LONGITUDE,LRGST_MTBS_FIRE_INFO,LRGST_FOD_COORDS
2916,2001_UT-ZIP-0016_SUPERNATURAL COMPLEX,UT-ZIP-0016,SUPERNATURAL COMPLEX,WF,595,L,TRUE,2001-07-05T00:00:00Z,186,2001-10-01 00:00:00,0,NA,NA,NA,0,NA,NA,NA,NA,Washington,37.321111,-112.938889,10 miles north of Springdale  UT,UT,7500,2001,NA,0,0,0,0,0,0,NA,NA,2001-08-18T00:00:00Z,NA,9,NA,NA,NA,NA,8,62,1,2001-07-08T00:00:00Z,189,17,2001-07-08T00:00:00Z,189,2001-07-26T00:00:00Z,207,66.66666666666667,2001-07-08T00:00:00Z,189,21,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[362985, 362987]",2,NA,185,205,['Natural'],597,"[{'ID': 362985, 'COORDS': (37.21092, -112.88922), 'CAUSE': 'Natural', 'SIZE': 2.0, 'DISC': 185, 'CONT': 205.0}, {'ID': 362987, 'COORDS': (37.32694, -112.94972), 'CAUSE': 'Natural', 'SIZE': 595.0, 'DISC': 185, 'CONT': 201.0}]","[(37.21092, -112.88922) (37.32694, -112.94972)]",1,2,0,362987,37.32694,-112.94972,NA,"(37.32694, -112.94972)"
2917,2001_UT-ZIP-0052_LANGSTON COMPLEX,UT-ZIP-0052,LANGSTON COMPLEX,WFU,610,L,TRUE,2001-08-16T00:00:00Z,228,10/01/2001,0,NA,NA,NA,0,NA,NA,NA,NA,NA,37.41666666666666,-113.11666666666666,"16 miles north of Virgin, UT",UT,238140,2001,NA,0,0,0,0,0,0,NA,NA,2001-10-09T00:00:00Z,NA,18,NA,NA,NA,NA,11,366,1,2001-08-18T00:00:00Z,230,29,2001-08-23T00:00:00Z,235,2001-08-26T00:00:00Z,238,200,2001-08-24T00:00:00Z,236,10,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,[363001],1,['UT3737911303520010816-LANGSTON'],228,NA,['Natural'],610,"[{'ID': 363001, 'MTBS_ID': 'UT3737911303520010816(LANGSTON)', 'COORDS': (37.43222, -113.12276999999999), 'CAUSE': 'Natural', 'SIZE': 610.0, 'DISC': 228, 'CONT': 'unknown'}]","[(37.43222, -113.12276999999999)]",1,1,1,363001,37.43222,-113.12277,UT3737911303520010816(LANGSTON),"(37.43222, -113.12276999999999)"
2926,2001_VA-VAF-012_HEMATITE COMPLEX,VA-VAF-012,HEMATITE COMPLEX,WF,325,H,TRUE,2001-05-10T00:00:00Z,130,5/15/2001,0,NA,NA,NA,0,NA,NA,NA,NA,NA,37.75,-80.2,"Covington, Va",VA,NA,2001,NA,0,0,0,0,0,0,NA,NA,2001-05-15T00:00:00Z,NA,4,NA,NA,NA,NA,2,562,1,2001-05-12T00:00:00Z,132,180,2001-05-13T00:00:00Z,133,2001-05-12T00:00:00Z,132,162.5,2001-05-12T00:00:00Z,132,2,"[nan, nan, nan, nan]",NA,NA,0,[146211],1,NA,130,135,['Railroad operations and maintenance'],315,"[{'ID': 146211, 'COORDS': (37.925, -79.89166667), 'CAUSE': 'Railroad operations and maintenance', 'SIZE': 315.0, 'DISC': 130, 'CONT': 135.0}]","[(37.925, -79.89166667)]",1,1,0,146211,37.925,-79.89166667,NA,"(37.925, -79.89166667)"
2939,2001_WA-COA-132_VIRGINIA LAKE COMPLEX,WA-COA-132,VIRGINIA LAKE COMPLEX,WF,74243,L,TRUE,2001-08-13T00:00:00Z,225,08/29/2001,0,NA,NA,NA,0,NA,NA,NA,NA,NA,48.36666666666667,-119.46666666666668,12 miles south of Okanogan,WA,25200000,2001,NA,0,0,0,0,0,0,NA,NA,2001-09-17T00:00:00Z,NA,36,NA,NA,NA,NA,153,33099,15,2001-08-21T00:00:00Z,233,2674,2001-08-24T00:00:00Z,236,2001-08-20T00:00:00Z,232,25700,2001-08-15T00:00:00Z,227,7,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[140188, 284723, 284728]",3,"['WA4849511909420010813-VIRGINIA LAKE COMPLEX (BAILEY MOUNTAIN)'
 'WA4825311961220010813-VIRGINIA L' 'WA4830911934320010814-ST MARYS']",225,264,['Natural' 'Smoking'],72842,"[{'ID': 140188, 'MTBS_ID': 'WA4849511909420010813(VIRGINIA LAKE COMPLEX (BAILEY MOUNTAIN))', 'COORDS': (48.48861111, -119.11944440000002), 'CAUSE': 'Natural', 'SIZE': 3107.0, 'DISC': 225, 'CONT': 264.0}, {'ID': 284723, 'MTBS_ID': 'WA4825311961220010813(VIRGINIA L)', 'COORDS': (48.2749, -119.5734), 'CAUSE': 'Natural', 'SIZE': 36775.0, 'DISC': 225, 'CONT': 259.0}, {'ID': 284728, 'MTBS_ID': 'WA4830911934320010814(ST MARYS)', 'COORDS': (48.3457, -119.4387), 'CAUSE': 'Smoking', 'SIZE': 32960.0, 'DISC': 226, 'CONT': 259.0}]","[(48.48861111, -119.11944440000002) (48.2749, -119.5734)
 (48.3457, -119.4387)]",2,3,3,284723,48.2749,-119.5734,WA4825311961220010813(VIRGINIA L),"(48.2749, -119.5734)"
2941,2001_WA-COF-083_MT LEONA COMPLEX,WA-COF-083,MT LEONA COMPLEX,WF,6144,L,TRUE,2001-08-13T00:00:00Z,225,09/02/2001,0,NA,NA,NA,0,H,TRUE,NA,NA,NA,48.78861111,-48.78861111,"13 miles NE of Republic, WA",WA,12680000,2001,NA,0,0,0,0,0,0,NA,NA,2001-09-05T00:00:00Z,NA,23,NA,NA,NA,NA,103,16445,17,2001-08-29T00:00:00Z,241,1520,2001-08-25T00:00:00Z,237,2001-08-22T00:00:00Z,234,1488,2001-08-17T00:00:00Z,229,9,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,[145338],1,['WA4879411848120010813-MT. LEONA COMPLEX'],225,299,['Natural'],6144,"[{'ID': 145338, 'MTBS_ID': 'WA4879411848120010813(MT. LEONA COMPLEX)', 'COORDS': (48.78861111, -118.49416670000001), 'CAUSE': 'Natural', 'SIZE': 6144.0, 'DISC': 225, 'CONT': 299.0}]","[(48.78861111, -118.49416670000001)]",1,1,1,145338,48.78861111,-118.4941667,WA4879411848120010813(MT. LEONA COMPLEX),"(48.78861111, -118.49416670000001)"
2942,2001_WA-COF-092_SLEEPY COMPLEX,WA-COF-092,SLEEPY COMPLEX,WF,1410,L,TRUE,2001-08-13T00:00:00Z,225,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,48.5,-118.48333333333332,"21 MILES WWS OF KETTLE FALLS, WA",WA,2058000,2001,NA,0,0,0,0,0,0,NA,NA,2001-09-01T00:00:00Z,NA,15,NA,NA,NA,NA,30,5347,3,2001-08-23T00:00:00Z,235,495,2001-08-25T00:00:00Z,237,2001-08-23T00:00:00Z,235,1152,2001-08-20T00:00:00Z,232,10,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,[145336],1,['WA4848511847820010813-SLEEPY COMPLEX  (SLEEPY)'],225,243,['Natural'],1370,"[{'ID': 145336, 'MTBS_ID': 'WA4848511847820010813(SLEEPY COMPLEX  (SLEEPY))', 'COORDS': (48.48527778, -118.47), 'CAUSE': 'Natural', 'SIZE': 1370.0, 'DISC': 225, 'CONT': 243.0}]","[(48.48527778, -118.47)]",1,1,1,145336,48.48527778,-118.47,WA4848511847820010813(SLEEPY COMPLEX  (SLEEPY)),"(48.48527778, -118.47)"
2944,2001_WA-GPF-090_SALT CREEK COMPLEX,WA-GPF-090,SALT CREEK COMPLEX,WF,408,L,TRUE,2001-09-15T00:00:00Z,258,09/24/2001,0,NA,NA,NA,0,NA,NA,NA,NA,NA,46.15,-121.55,"TWELVE MILES NORTHWEST OF TROUTLAKE,WA",WA,1887000,2001,NA,0,0,0,0,0,0,NA,NA,2001-09-23T00:00:00Z,NA,8,NA,NA,NA,NA,33,2721,5,2001-09-19T00:00:00Z,262,449,2001-09-21T00:00:00Z,264,2001-09-18T00:00:00Z,261,300,2001-09-16T00:00:00Z,259,3,"[nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[146509, 146510]",2,NA,258,267,['Natural'],326,"[{'ID': 146509, 'COORDS': (46.125, -121.48333329999998), 'CAUSE': 'Natural', 'SIZE': 10.0, 'DISC': 258, 'CONT': 260.0}, {'ID': 146510, 'COORDS': (46.16, -121.55), 'CAUSE': 'Natural', 'SIZE': 316.0, 'DISC': 258, 'CONT': 267.0}]","[(46.125, -121.48333329999998) (46.16, -121.55)]",1,2,0,146510,46.16,-121.55,NA,"(46.16, -121.55)"
2947,2001_WA-NES-119_BREWSTER COMPLEX,WA-NES-119,BREWSTER COMPLEX,WF,6100,L,TRUE,2001-08-13T00:00:00Z,225,8/21/01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,48.2,-119.83333333333331,5 Mi N of Brewster WA,WA,3400000,2001,NA,0,0,0,0,0,0,NA,NA,2001-08-22T00:00:00Z,NA,10,NA,NA,NA,NA,25,3718,6,2001-08-16T00:00:00Z,228,911,2001-08-18T00:00:00Z,230,2001-08-16T00:00:00Z,228,2800,2001-08-16T00:00:00Z,228,3,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[358280, 866978]",2,['WA4819711984220010813-UNNAMED'],225,225,['Natural'],6185,"[{'ID': 358280, 'COORDS': (48.0982, -119.8506), 'CAUSE': 'Natural', 'SIZE': 400.0, 'DISC': 225, 'CONT': 225.0}, {'ID': 866978, 'MTBS_ID': 'WA4819711984220010813(UNNAMED)', 'COORDS': (48.20495, -119.88211000000001), 'CAUSE': 'Natural', 'SIZE': 5785.0, 'DISC': 225, 'CONT': 'unknown'}]","[(48.0982, -119.8506) (48.20495, -119.88211000000001)]",1,2,1,866978,48.20495,-119.88211,WA4819711984220010813(UNNAMED),"(48.20495, -119.88211000000001)"
2951,2001_WA-OKF-111_WINDY-SWAMP COMPLEX,WA-OKF-111,WINDY-SWAMP COMPLEX,WF,1000,L,TRUE,2001-08-12T00:00:00Z,224,8/30/2001,0,NA,NA,NA,0,N,TRUE,NA,NA,NA,NA,NA,Pasayten Wilderness,WA,2100000,2001,NA,0,0,0,0,0,0,NA,NA,2001-08-31T00:00:00Z,NA,11,NA,NA,NA,NA,27,4248,5,2001-08-27T00:00:00Z,239,610,2001-08-28T00:00:00Z,240,2001-08-24T00:00:00Z,236,83.33333333333333,2001-08-24T00:00:00Z,236,12,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(nan, nan)"
2957,2001_WA-WEF-497_SPRUCE SPRINGS/DOME COMPLEX,WA-WEF-497,SPRUCE SPRINGS/DOME COMPLEX,WF,2723,L,TRUE,2001-08-12T00:00:00Z,224,8/24/01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,46.58333333333334,-121.16666666666669,"30 Mi W of Yakima, WA.",WA,9050673,2001,NA,0,0,0,0,0,0,NA,NA,2001-08-28T00:00:00Z,NA,18,NA,NA,NA,NA,32,10791,6,2001-08-21T00:00:00Z,233,1230,2001-08-23T00:00:00Z,235,2001-08-23T00:00:00Z,235,1100,2001-08-17T00:00:00Z,229,11,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[145014, 1273243]",2,['WA4658412110220010813-DOME PEAK'],224,293,['Natural'],2723,"[{'ID': 145014, 'COORDS': (46.58333333, -121.19083329999998), 'CAUSE': 'Natural', 'SIZE': 268.0, 'DISC': 224, 'CONT': 293.0}, {'ID': 1273243, 'MTBS_ID': 'WA4658412110220010813(DOME PEAK)', 'COORDS': (46.57444444, -121.1147222), 'CAUSE': 'Natural', 'SIZE': 2455.0, 'DISC': 225, 'CONT': 244.0}]","[(46.58333333, -121.19083329999998) (46.57444444, -121.1147222)]",1,2,1,1273243,46.57444444,-121.1147222,WA4658412110220010813(DOME PEAK),"(46.57444444, -121.1147222)"
2958,2001_WA-WEF-514_ICICLE COMPLEX,WA-WEF-514,ICICLE COMPLEX,WF,7697,L,TRUE,2001-08-12T00:00:00Z,224,08/28/01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,47.58333333333334,-120.78333333333332,"6 Mi SW of Leavenworth, WA",WA,7700000,2001,NA,0,0,0,0,0,0,NA,NA,2001-08-27T00:00:00Z,NA,16,NA,NA,NA,NA,80,10920,8,2001-08-17T00:00:00Z,229,1097,2001-08-20T00:00:00Z,232,2001-08-21T00:00:00Z,233,2500,2001-08-18T00:00:00Z,230,9,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[145015, 145022]",2,NA,225,250,['Natural'],75.6,"[{'ID': 145015, 'COORDS': (47.65166667, -120.78666670000001), 'CAUSE': 'Natural', 'SIZE': 30.0, 'DISC': 225, 'CONT': 250.0}, {'ID': 145022, 'COORDS': (47.49166667, -120.725), 'CAUSE': 'Natural', 'SIZE': 45.6, 'DISC': 225, 'CONT': 240.0}]","[(47.65166667, -120.78666670000001) (47.49166667, -120.725)]",1,2,0,145022,47.49166667,-120.725,NA,"(47.49166667, -120.725)"
2959,2001_WA-WEF-535_REX CREEK COMPLEX,WA-WEF-535,REX CREEK COMPLEX,WF,54298,L,TRUE,2001-08-12T15:00:00Z,224,09/23/2001,0,NA,NA,NA,0,NA,NA,NA,NA,NA,47.98333333333333,-120.26666666666668,"15 MILES NW OF CHELAN, N SHORE OF LAKE",WA,11900000,2001,NA,0,0,0,2,0,1,NA,NA,2001-09-29T00:00:00Z,NA,50,NA,NA,NA,NA,224,13207,9,2001-08-26T00:00:00Z,238,778,2001-08-26T00:00:00Z,238,2001-09-20T00:00:00Z,263,13354,2001-08-17T00:00:00Z,229,39,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,[143711],1,['WA4816212046320010812-REX CREEK COMPLEX (REX CREEK)'],224,305,['Natural'],55913,"[{'ID': 143711, 'MTBS_ID': 'WA4816212046320010812(REX CREEK COMPLEX (REX CREEK))', 'COORDS': (48.20055556, -120.49805559999999), 'CAUSE': 'Natural', 'SIZE': 55913.0, 'DISC': 224, 'CONT': 305.0}]","[(48.20055556, -120.49805559999999)]",1,1,1,143711,48.20055556,-120.4980556,WA4816212046320010812(REX CREEK COMPLEX (REX CREEK)),"(48.20055556, -120.49805559999999)"
2999,2001_WY-BTF-026_FISHERMAN COMPLEX,WY-BTF-026,FISHERMAN COMPLEX,WF,444,L,TRUE,2001-07-04T00:00:00Z,185,NA,0,NA,NA,NA,0,NA,NA,NA,NA,TETON,42.998056,-110.057222,BUCK CREEK IS 45 MILES NW OF PINEDALE,WY,760930,2001,NA,0,0,0,0,0,0,NA,NA,2001-07-14T00:00:00Z,NA,11,NA,NA,NA,NA,18,1711,6,2001-07-08T00:00:00Z,189,566,2001-07-08T00:00:00Z,189,2001-07-11T00:00:00Z,192,300,2001-07-05T00:00:00Z,186,7,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[145856, 145858, 145953, 145960]",4,NA,186,332,['Natural'],450,"[{'ID': 145856, 'COORDS': (42.58472222, -110.50305559999998), 'CAUSE': 'Natural', 'SIZE': 2.0, 'DISC': 191, 'CONT': 193.0}, {'ID': 145858, 'COORDS': (42.83472222, -109.50444440000001), 'CAUSE': 'Natural', 'SIZE': 4.0, 'DISC': 191, 'CONT': 196.0}, {'ID': 145953, 'COORDS': (42.98916667, -110.44138889999999), 'CAUSE': 'Natural', 'SIZE': 363.0, 'DISC': 186, 'CONT': 332.0}, {'ID': 145960, 'COORDS': (43.17611111, -110.2952778), 'CAUSE': 'Natural', 'SIZE': 81.0, 'DISC': 186, 'CONT': 332.0}]","[(42.58472222, -110.50305559999998) (42.83472222, -109.50444440000001)
 (42.98916667, -110.44138889999999) (43.17611111, -110.2952778)]",1,4,0,145953,42.98916667,-110.4413889,NA,"(42.98916667, -110.44138889999999)"
3000,2001_WY-BTF-029_GREYS RIVER COMPLEX,WY-BTF-029,GREYS RIVER COMPLEX,WF,233,L,TRUE,2001-07-04T00:00:00Z,185,07/11/01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,43,-110.78333333333332,"14 MILES SE OF ALPINE, WYOMING",WY,955923,2001,NA,0,0,0,0,0,0,NA,NA,2001-07-14T00:00:00Z,NA,9,NA,NA,NA,NA,16,2194,4,2001-07-07T00:00:00Z,188,376,2001-07-08T00:00:00Z,189,2001-07-09T00:00:00Z,190,200,2001-07-06T00:00:00Z,187,5,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[145948, 145949]",2,NA,185,194,['Natural'],233,"[{'ID': 145948, 'COORDS': (42.87444444, -110.7738889), 'CAUSE': 'Natural', 'SIZE': 145.0, 'DISC': 185, 'CONT': 194.0}, {'ID': 145949, 'COORDS': (42.97388889, -110.82777779999999), 'CAUSE': 'Natural', 'SIZE': 88.0, 'DISC': 186, 'CONT': 194.0}]","[(42.87444444, -110.7738889) (42.97388889, -110.82777779999999)]",1,2,0,145948,42.87444444,-110.7738889,NA,"(42.87444444, -110.7738889)"
3011,2001_WY-CPX-084_THUNDER CHILD COMPLEX,WY-CPX-084,THUNDER CHILD COMPLEX,WF,5200,L,TRUE,2001-07-29T00:00:00Z,210,07/30/01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,44.93333333333333,-107.03333333333332,10 Miles north of Sheridan,WY,NA,2001,NA,0,0,0,0,0,0,NA,NA,2001-07-31T00:00:00Z,NA,2,NA,NA,NA,NA,NA,90,NA,2001-07-30T00:00:00Z,211,45,2001-07-30T00:00:00Z,211,2001-07-30T00:00:00Z,211,5200,2001-07-30T00:00:00Z,211,1,"[nan, nan]",NA,NA,0,[358629],1,['WY4491110701420010728-THUNDER CH'],209,214,['Natural'],5207,"[{'ID': 358629, 'MTBS_ID': 'WY4491110701420010728(THUNDER CH)', 'COORDS': (44.9455, -106.9801), 'CAUSE': 'Natural', 'SIZE': 5207.0, 'DISC': 209, 'CONT': 214.0}]","[(44.9455, -106.9801)]",1,1,1,358629,44.9455,-106.9801,WY4491110701420010728(THUNDER CH),"(44.9455, -106.9801)"
3046,2002_A-265_MINCHUMINA GROUP,A-265,MINCHUMINA GROUP,WF,196584,L,TRUE,2002-06-05T16:00:00Z,156,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,64.133333,-152.55,APPROX 5 MILES NW OF LAKE MINCHUMINA,AK,315000,2002,NA,0,0,0,0,0,0,NA,NA,2002-08-10T21:30:00Z,NA,9,NA,42,NA,4,9,132,2,2002-08-03T20:05:00Z,215,23,2002-08-04T22:25:00Z,216,2002-08-08T15:00:00Z,220,22900,2002-08-06T22:05:00Z,218,64,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[311099, 311106, 311111, 360132]",4,"['AK6407715233220020605-SISCHU' 'AK6419815150220020606-JOHN HANSEN CREEK'
 'AK6445615319920020608-BIG MUD' 'AK6355515284120020717-MOOSE LAKE']",156,275,['Natural'],312499.1,"[{'ID': 311099, 'MTBS_ID': 'AK6407715233220020605(SISCHU)', 'COORDS': (64.1353, -152.5418), 'CAUSE': 'Natural', 'SIZE': 128983.1, 'DISC': 156, 'CONT': 275.0}, {'ID': 311106, 'MTBS_ID': 'AK6419815150220020606(JOHN HANSEN CREEK)', 'COORDS': (64.2431, -151.4979), 'CAUSE': 'Natural', 'SIZE': 25734.0, 'DISC': 157, 'CONT': 262.0}, {'ID': 311111, 'MTBS_ID': 'AK6445615319920020608(BIG MUD)', 'COORDS': (64.4828, -153.0358), 'CAUSE': 'Natural', 'SIZE': 39862.0, 'DISC': 159, 'CONT': 260.0}, {'ID': 360132, 'MTBS_ID': 'AK6355515284120020717(MOOSE LAKE)', 'COORDS': (63.5911, -152.6757), 'CAUSE': 'Natural', 'SIZE': 117920.0, 'DISC': 198, 'CONT': 'unknown'}]","[(64.1353, -152.5418) (64.2431, -151.4979) (64.4828, -153.0358)
 (63.5911, -152.6757)]",1,4,4,311099,64.1353,-152.5418,AK6407715233220020605(SISCHU),"(64.1353, -152.5418)"
3059,2002_AR-OUF-02045_576 COMPLEX,AR-OUF-02045,576 COMPLEX,WF,150,H,TRUE,2002-08-12T14:11:00Z,224,2002-08-12 22:00:00,0,NA,NA,NA,0,NA,NA,NA,NA,POLK,34.450278000000004,-94.268611,10 MILES SOUTH OF MENA ARKANSAS,AR,3000,2002,NA,0,0,0,0,0,0,NA,NA,2002-08-14T11:30:00Z,NA,3,NA,NA,NA,NA,NA,19,NA,2002-08-12T17:45:00Z,224,19,2002-08-12T17:45:00Z,224,2002-08-12T17:45:00Z,224,150,2002-08-12T17:45:00Z,224,0,"[nan, nan, nan]",NA,NA,0,"[148725, 148726, 1273434]",3,NA,224,224,['Arson/incendiarism'],41.5,"[{'ID': 148725, 'COORDS': (34.76083333, -94.31527778), 'CAUSE': 'Arson/incendiarism', 'SIZE': 2.0, 'DISC': 224, 'CONT': 224.0}, {'ID': 148726, 'COORDS': (34.76194444, -94.31472222), 'CAUSE': 'Arson/incendiarism', 'SIZE': 0.5, 'DISC': 224, 'CONT': 224.0}, {'ID': 1273434, 'COORDS': (34.76055556, -94.39805556), 'CAUSE': 'Arson/incendiarism', 'SIZE': 39.0, 'DISC': 224, 'CONT': 224.0}]","[(34.76083333, -94.31527778) (34.76194444, -94.31472222)
 (34.76055556, -94.39805556)]",1,3,0,1273434,34.76055556,-94.39805556,NA,"(34.76055556, -94.39805556)"
3096,2002_AZ-COF-164_PACK RAT COMPLEX,AZ-COF-164,PACK RAT COMPLEX,WF,3470,L,TRUE,2002-08-15T18:48:00Z,227,2002-09-02 18:00:00,0,NA,NA,NA,0,NA,NA,NA,NA,Coconino,34.428889,-111.310278,8 miles East of Pine  Arizona  1 mile north of Strawberry,AZ,6000000,2002,NA,0,0,0,0,0,0,NA,NA,2002-09-19T17:21:00Z,NA,25,NA,200,NA,200,63,6734,5,2002-08-17T20:39:00Z,229,662,2002-08-29T18:00:00Z,241,2002-09-01T00:00:00Z,244,1055,2002-08-28T16:30:00Z,240,17,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,[1301252],1,['AZ3443611128620020901-UNNAMED'],227,262,['Natural'],3470,"[{'ID': 1301252, 'MTBS_ID': 'AZ3443611128620020901(UNNAMED)', 'COORDS': (34.428889, -111.310278), 'CAUSE': 'Natural', 'SIZE': 3470.0, 'DISC': 227, 'CONT': 262.0}]","[(34.428889, -111.310278)]",1,1,1,1301252,34.428889,-111.310278,AZ3443611128620020901(UNNAMED),"(34.428889, -111.310278)"
3097,2002_AZ-FTA-251_RODEO/CHEDISKI COMPLEX,AZ-FTA-251,RODEO/CHEDISKI COMPLEX,WF,468638,H,TRUE,2002-06-18T16:12:00Z,169,NA,0,NA,NA,NA,0,NA,NA,NA,NA,Navajo,34.098611,-110.433333,3 miles west of Show Low  AZ; 3 miles north of Cibecue,AZ,48737663,2002,NA,0,0,0,31,25,3,NA,NA,2002-07-16T18:00:00Z,NA,34,NA,13500,1000,7500,279,49808,30,2002-06-29T18:30:00Z,180,4447,2002-06-29T18:30:00Z,180,2002-06-29T18:30:00Z,180,165000,2002-06-25T20:00:00Z,176,11,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",NA,NA,0,"[302872, 302873]",2,['AZ3423311046320020618-RODEO'],169,178,['Arson/incendiarism'],468863,"[{'ID': 302872, 'MTBS_ID': 'AZ3423311046320020618(RODEO)', 'COORDS': (34.1084, -110.4859), 'CAUSE': 'Arson/incendiarism', 'SIZE': 259158.9, 'DISC': 169, 'CONT': 169.0}, {'ID': 302873, 'MTBS_ID': 'AZ3423311046320020618(RODEO)', 'COORDS': (34.1362, -110.7029), 'CAUSE': 'Arson/incendiarism', 'SIZE': 209704.1, 'DISC': 171, 'CONT': 178.0}]","[(34.1084, -110.4859) (34.1362, -110.7029)]",1,2,1,302872,34.1084,-110.4859,AZ3423311046320020618(RODEO),"(34.1084, -110.4859)"
